document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
74c6bb8d3aa480a95207e0085fc1c4c0,research_results/documents/parsed/74c6bb8d3aa480a95207e0085fc1c4c0.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,bipoc,required; must; shall; mandatory; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,59426
e074d302eac8c1251ce84c7611f87a01,research_results/documents/parsed/e074d302eac8c1251ce84c7611f87a01.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,bipoc; safe space,required; must; policy; applicability; statewide; contract; standard; agreement,hiring; procurement; training; housing,108807
2cb743c45485324adc632bb0642bc614,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,equity plan; lived experience,required; must; shall; mandatory; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,141010
07a1076fa131f26b2cdcc68681afddbb,research_results/documents/parsed/07a1076fa131f26b2cdcc68681afddbb.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,equity plan; safe space,must; shall; mandatory; statewide; contract; policy,hiring; procurement; training; housing,49914
544d76b9a259616a1c691b4f98098735,research_results/documents/parsed/544d76b9a259616a1c691b4f98098735.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,equity plan; safe space,must; shall; mandatory; statewide; contract; policy,hiring; procurement; training; housing,49914
6431de02c3af80fab467e7aebdc1d17c,research_results/documents/parsed/6431de02c3af80fab467e7aebdc1d17c.txt,3,diversity; underserved; equity; inclusion; dei,bipoc,required; must; shall; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,76622
a2f08c4c1146471bbf56e2808875d0b6,research_results/documents/parsed/a2f08c4c1146471bbf56e2808875d0b6.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,bipoc; lived experience,required; must; shall; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,147683
bbfc77a24628ff8e29dd977ba4c66095,research_results/documents/parsed/bbfc77a24628ff8e29dd977ba4c66095.txt,3,diversity; underserved; equity; inclusion; dei; underrepresented,bipoc,required; must; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,69963
f05cefc6c4eb4225c881409d8daadc29,research_results/documents/parsed/f05cefc6c4eb4225c881409d8daadc29.txt,3,diversity; underserved; equity; inclusion; dei,bipoc,required; shall; policy; statewide; contract; standard; agreement,hiring; procurement; training; housing,85456
0a3c2fb7aaa8fce1b2fcc321ae18e5b9,research_results/documents/parsed/0a3c2fb7aaa8fce1b2fcc321ae18e5b9.txt,3,diversity; underserved; equity; inclusion; dei,lived experience; cultural competence,must; shall; policy; standard; statewide; contract; required,hiring; procurement; training; housing,31368
